Study,Format,Model,Factor_Domain,N_Items,N_Participants,Alpha,Omega,CFI,TLI,RMSEA,SRMR,Chi_Square,DF,P_Value
STUDY_3,likert,bfi_to_minimarker_gpt_4_temp1,Agreeableness,8,200,0.914,0.892,0.785,0.699,0.255,0.093,280.938,20,0
STUDY_3,likert,bfi_to_minimarker_gpt_4_temp1,Conscientiousness,8,200,0.886,0.85,0.77,0.679,0.234,0.105,239.172,20,0
STUDY_3,likert,bfi_to_minimarker_gpt_4_temp1,Extraversion,8,200,0.909,0.86,0.924,0.894,0.153,0.072,114.005,20,0
STUDY_3,likert,bfi_to_minimarker_gpt_4_temp1,Neuroticism,8,200,0.81,0.385,0.55,0.37,0.312,0.236,409.021,20,0
STUDY_3,likert,bfi_to_minimarker_gpt_4_temp1,Openness,8,200,0.781,0.379,0.617,0.463,0.388,0.233,621.739,20,0
STUDY_3,likert,bfi_to_minimarker_gpt_4o_temp1,Agreeableness,8,200,0.947,0.94,0.828,0.759,0.275,0.073,322.322,20,0
STUDY_3,likert,bfi_to_minimarker_gpt_4o_temp1,Conscientiousness,8,200,0.926,0.928,0.846,0.784,0.231,0.061,233.77,20,0
STUDY_3,likert,bfi_to_minimarker_gpt_4o_temp1,Extraversion,8,200,0.944,0.929,0.887,0.842,0.224,0.055,220.502,20,0
STUDY_3,likert,bfi_to_minimarker_gpt_4o_temp1,Neuroticism,8,200,0.861,0.827,0.611,0.456,0.356,0.188,526.201,20,0
STUDY_3,likert,bfi_to_minimarker_gpt_4o_temp1,Openness,8,200,0.903,0.814,0.578,0.409,0.444,0.171,810.228,20,0
STUDY_3,likert,bfi_to_minimarker_llama_temp1,Agreeableness,8,200,0.959,0.94,0.755,0.657,0.372,0.092,572.219,20,0
STUDY_3,likert,bfi_to_minimarker_llama_temp1,Conscientiousness,8,200,0.938,0.95,0.816,0.742,0.276,0.072,323.618,20,0
STUDY_3,likert,bfi_to_minimarker_llama_temp1,Extraversion,8,200,0.946,0.918,0.929,0.901,0.182,0.061,153.014,20,0
STUDY_3,likert,bfi_to_minimarker_llama_temp1,Neuroticism,8,200,0.885,0.53,0.583,0.417,0.418,0.24,718.925,20,0
STUDY_3,likert,bfi_to_minimarker_llama_temp1,Openness,8,200,0.94,0.862,0.655,0.517,0.447,0.153,818.116,20,0
STUDY_3,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Agreeableness,8,200,0.82,0.78,0.743,0.64,0.3,0.24,380.825,20,0
STUDY_3,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Conscientiousness,8,200,0.838,0.657,0.563,0.388,0.335,0.234,467.709,20,0
STUDY_3,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Extraversion,8,200,0.82,0.599,0.773,0.682,0.244,0.183,258.573,20,0
STUDY_3,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Neuroticism,8,200,0.639,0.315,0.596,0.435,0.321,0.233,432.858,20,0
STUDY_3,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Openness,8,200,0.87,0.856,0.729,0.62,0.298,0.132,375.132,20,0
